公众号文章,发文数,阅读总数,篇均阅读量,发布次数,头条阅读数,在看总数,最大在看数,平均在看数,10W+文章数,,,总阅读量部分,平均阅读量部分,头条阅读量部分,10W+文章数量部分,赞阅率部分,点赞爆点部分,PDI
美丽南桥,414,862991,2085,152,463526,6508,993,16,1,409.08,140.07,139.37,11.50,385.46,227.78,665.31
美丽四团,443,356944,806,153,198605,5784,124,13,0,382.66,124.02,124.53,0.00,406.54,207.07,624.17
平安奉贤,46,11903,259,44,11884,189,45,4,0,280.88,88.41,97.26,0.00,335.46,210.31,498.24
青春奉贤,186,299665,1611,156,269561,5877,791,32,0,377.42,124.00,129.50,0.00,412.94,222.20,632.61
上海奉贤,3871,12131667,3134,547,5867376,67156,3408,17,5,488.19,556.35,161.22,21.69,408.85,230.26,992.11
上海奉贤投资,10,2218,222,9,2109,21,5,2,0,230.60,84.79,94.80,0.00,240.71,134.24,396.09
上海金融小镇镇情速递,20,1421,71,14,1014,8,4,0,0,217.28,67.18,74.41,0.00,181.59,208.30,371.28
上海市工业综合开发区,66,32537,493,24,14248,217,13,3,0,310.97,99.43,110.94,0.00,310.94,172.91,506.35
上美海湾,270,58907,218,89,36421,475,47,2,0,328.74,93.39,104.48,0.00,336.79,222.78,539.80
生态海湾,593,116326,196,155,78232,1682,148,3,0,349.10,103.64,108.12,0.00,382.11,227.01,580.16
投资奉贤,317,90058,284,154,67257,335,17,1,0,341.44,99.76,105.61,0.00,305.94,217.06,537.28
微奉贤,532,1835817,3451,113,1111745,3348,174,6,0,431.67,156.23,159.72,0.00,337.64,223.07,672.86
贤城清风,155,80728,521,56,53658,583,109,4,0,338.17,103.80,119.26,0.00,338.26,223.46,561.42
贤城阳光园,225,20363,91,81,12343,538,13,2,0,296.95,76.80,87.32,0.00,380.37,188.87,504.33
贤韵奉浦,501,302910,605,159,167645,5447,89,11,0,377.75,121.37,120.92,0.00,408.98,203.17,616.88
小贤说法,321,48859,152,145,30848,364,14,1,0,323.14,88.87,93.11,0.00,327.87,212.70,519.30
跃动金海,424,251258,593,140,130817,3010,137,7,0,372.15,117.47,118.82,0.00,386.51,219.45,607.45
掌阅奉贤,232,1970641,8494,101,1678629,13223,2276,57,2,433.80,154.63,168.83,20.15,392.85,225.65,713.84
柘林镇,403,166820,414,151,137430,3465,228,9,0,359.89,109.97,118.36,0.00,406.70,222.71,604.71
中共上海市奉贤区委党校,89,20042,225,71,17061,111,11,1,0,296.47,87.64,95.23,0.00,285.81,205.20,484.01
最美半边天,96,24042,250,37,19845,133,28,1,0,301.92,89.60,109.18,0.00,291.32,219.99,504.94
